"","Gneedles","Gbranches","GstemV","GstemB","Groot.above.5cm","Groot.below.5cm","Gstump"
"80",NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA
"95",270.608551513783,335.649240444018,1025.9980624969,104.076659669749,278.633650741434,108.560282051248,122.535860001063
"96",NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA
"116",NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,NA,NA,NA,NA,NA
"120",0,0,0,0,0,0,0
"121",NA,NA,NA,NA,NA,NA,NA
